candidate_id,website,metric_id,raw_score,decision_status,source_ids
P-001,kupit-minitraktor.ru,M01,10,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M02,10,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M03,10,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M04,10,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M05,10,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M06,10,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M07,0,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M08,0,VERIFIED_BY_SPECIFICATION,"SRC-P-001-01"
P-002,kupit-minitraktor.ru,M01,10,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M02,10,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M03,10,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M04,10,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M05,10,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M06,10,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M07,0,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M08,0,VERIFIED_BY_SPECIFICATION,"SRC-P-002-01"
P-003,kupit-minitraktor.ru,M01,10,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M02,10,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M03,10,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M04,10,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M05,10,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M06,10,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M07,0,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M08,0,VERIFIED_BY_SPECIFICATION,"SRC-P-003-01"
P-004,kupit-minitraktor.ru,M01,10,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M02,10,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M03,10,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M04,10,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M05,10,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M06,10,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M07,0,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M08,0,VERIFIED_BY_SPECIFICATION,"SRC-P-004-01"
P-005,kupit-minitraktor.ru,M01,10,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M02,10,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M03,10,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M04,10,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M05,10,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M06,10,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M07,0,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M08,0,VERIFIED_BY_SPECIFICATION,"SRC-P-005-01"
P-006,kupit-minitraktor.ru,M01,10,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M02,10,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M03,10,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M04,10,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M05,10,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M06,10,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M07,0,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M08,0,VERIFIED_BY_SPECIFICATION,"SRC-P-006-01"
P-007,kupit-minitraktor.ru,M01,10,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M02,10,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M03,10,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M04,10,VERIFIED_BY_SPECIFICATION,"SRC-P-007-01"
